section,date,away,home,status,conviction_pct,away_sp_name,home_sp_name,away_sp_factor,home_sp_factor,away_bp_factor,home_bp_factor,venue,temp_f,wind_mph,wind_dir,weather_factor,away_stars_present,home_stars_present,away_missing_stars,home_missing_stars,away_lineup_factor,home_lineup_factor,away_runs_proj,home_runs_proj,total_proj,pick_8.5,pick_9.0,pick_9.5,kelly_line,model_prob,fair_odds_dec,market_odds_dec,market_odds_american,book,edge_pct,kelly_pct,kelly_advice,status_reason,total_runs,result_8.5,result_9.0,result_9.5
backfill,2026-04-28,AZ,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,OVER,OVER,OVER
backfill,2026-04-28,NYY,TEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,UNDER,UNDER,UNDER
backfill,2026-04-28,KC,ATH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,UNDER,UNDER,UNDER
backfill,2026-04-28,CHC,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,OVER,OVER,OVER
backfill,2026-04-28,MIA,LAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,UNDER,UNDER,UNDER
backfill,2026-04-27,TB,CLE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,UNDER,UNDER,UNDER
backfill,2026-04-27,STL,PIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,UNDER,UNDER,UNDER
backfill,2026-04-27,BOS,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,UNDER,UNDER,UNDER
backfill,2026-04-27,SEA,MIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,OVER,OVER,OVER
backfill,2026-04-27,LAA,CWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,OVER,OVER,OVER
backfill,2026-04-27,NYY,TEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,UNDER,UNDER,UNDER
backfill,2026-04-27,CHC,SD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,OVER,OVER,OVER
backfill,2026-04-27,MIA,LAD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,OVER,PUSH,UNDER
backfill,2026-04-26,BOS,BAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,UNDER,UNDER,UNDER
backfill,2026-04-26,PHI,ATL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,UNDER,UNDER,UNDER
backfill,2026-04-26,CLE,TOR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,UNDER,UNDER,UNDER
backfill,2026-04-26,DET,CIN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,OVER,OVER,OVER
backfill,2026-04-26,COL,NYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,UNDER,UNDER,UNDER
backfill,2026-04-26,COL,NYM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,UNDER,UNDER,UNDER
backfill,2026-04-26,MIN,TB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,UNDER,UNDER,UNDER
backfill,2026-04-26,WSH,CWS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,UNDER,UNDER,UNDER
backfill,2026-04-26,NYY,HOU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,OVER,OVER,OVER
backfill,2026-04-26,PIT,MIL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,UNDER,UNDER,UNDER
backfill,2026-04-26,SEA,STL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,UNDER,UNDER,UNDER
backfill,2026-04-26,ATH,TEX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,UNDER,UNDER,UNDER
