section,date,away,home,status,conviction_pct,away_sp_name,home_sp_name,f1_total_proj,nrfi_prob,yrfi_prob,nrfi_pick,model_prob,fair_odds_dec,kelly_pct,kelly_advice,status_reason,f1_away,f1_home,f1_total,nrfi_yrfi
backfill,2026-04-19,TB,PIT,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-19,KC,NYY,,,,,,,,,,,,,,0,3,3,YRFI
backfill,2026-04-19,BAL,CLE,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-19,MIL,MIA,,,,,,,,,,,,,,0,3,3,YRFI
backfill,2026-04-19,STL,HOU,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-19,CIN,MIN,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-19,NYM,CHC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-19,LAD,COL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-19,CWS,ATH,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-19,SD,LAA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-19,TEX,SEA,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-19,TOR,AZ,,,,,,,,,,,,,,8,0,8,YRFI
backfill,2026-04-19,DET,BOS,,,,,,,,,,,,,,1,1,2,YRFI
backfill,2026-04-19,ATL,PHI,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-18,KC,NYY,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-18,CIN,MIN,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-18,NYM,CHC,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-18,TB,PIT,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-18,SF,WSH,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-18,CWS,ATH,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-18,DET,BOS,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-18,MIL,MIA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-18,BAL,CLE,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-18,STL,HOU,,,,,,,,,,,,,,2,1,3,YRFI
backfill,2026-04-18,TEX,SEA,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-18,ATL,PHI,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-18,LAD,COL,,,,,,,,,,,,,,2,1,3,YRFI
backfill,2026-04-18,TOR,AZ,,,,,,,,,,,,,,1,1,2,YRFI
backfill,2026-04-18,SD,LAA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-17,NYM,CHC,,,,,,,,,,,,,,0,4,4,YRFI
backfill,2026-04-17,BAL,CLE,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-17,ATL,PHI,,,,,,,,,,,,,,2,0,2,YRFI
backfill,2026-04-17,SF,WSH,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-17,TB,PIT,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-17,KC,NYY,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-17,MIL,MIA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-17,DET,BOS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-17,STL,HOU,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-17,CIN,MIN,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-17,LAD,COL,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-17,SD,LAA,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-17,TEX,SEA,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-17,TOR,AZ,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-17,CWS,ATH,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-16,WSH,PIT,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-16,SF,CIN,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-16,KC,DET,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-16,LAA,NYY,,,,,,,,,,,,,,2,1,3,YRFI
backfill,2026-04-16,TOR,MIL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-16,TB,CWS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-16,TEX,ATH,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-16,BAL,CLE,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-16,COL,HOU,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-16,SEA,SD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-15,AZ,BAL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-15,CLE,STL,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-15,BOS,MIN,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-15,KC,DET,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-15,WSH,PIT,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-15,SF,CIN,,,,,,,,,,,,,,0,4,4,YRFI
backfill,2026-04-15,CHC,PHI,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-15,LAA,NYY,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-15,MIA,ATL,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-15,TB,CWS,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-15,TOR,MIL,,,,,,,,,,,,,,1,0,1,YRFI
backfill,2026-04-15,COL,HOU,,,,,,,,,,,,,,0,2,2,YRFI
backfill,2026-04-15,SEA,SD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-15,TEX,ATH,,,,,,,,,,,,,,0,1,1,YRFI
backfill,2026-04-15,NYM,LAD,,,,,,,,,,,,,,0,0,0,NRFI
backfill,2026-04-14,AZ,BAL,,,,,,,,,,,,,,0,0,0,NRFI
